strand;type;clone;glyc_stock_box_as_plasmid;comment_as_plasmid;origin_id;date_as_plasmid;Created at;Updated at;qc validation;name;temp_name;number;strict_validation;plasmid_validation;target
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pSUB201;None;103;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTRE GFP;None;104;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTR-CBA-GFP;None;105;0;1;Ubiquitous
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXX2;None;106;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV8-7mer;None;107;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV9-7mer;None;108;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTR-scCAG-GFP;None;109;0;1;Ubiquitous
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXR1;None;110;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXR2;None;111;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXR5;None;112;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXX6-80;None;113;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXR8 ;None;114;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXR9;None;115;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV8-Y733F-7mer ;None;116;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV8-7mer in PUC57;None;117;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV9-7mer;None;118;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV9-7mer in PUC57;None;119;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;sc-CAG-GFP;None;120;0;1;Ubiquitous
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;Rho-eGFP;None;121;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV2/8;None;122;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV2/9;None;123;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV2/5;None;124;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;CAG-hChR;None;125;0;1;Ubiquitous
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;hSyn-CFP;None;126;0;1;neuronal
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV-YFP;None;127;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;Rho-Rho;None;128;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;7m8;None;129;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;sc-CAG-XIAP;None;130;0;1;Ubiquitous
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTR-scCMV-lucif_rase;None;131;0;1;Ubiquitous
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTR-Flag;None;132;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTR-STAT3;None;133;0;1;Unknown
Unknown;Transgene;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV-sh-SOCS3 ;None;134;0;1;Unknown
