production_id;plate_id;created_at;username;name;titer;titer_atcc;titer_to_atcc;date_of_production
329;1426;July 24, 2014;eduvelle;329;1080000000000,00;10400000000,00;3406153846153,85;May 29, 2015
330;1426;July 24, 2014;eduvelle;330;3450000000000,00;10400000000,00;10880769230769,20;May 29, 2015
331;1426;July 24, 2014;eduvelle;331;14300000000,00;10400000000,00;45100000000,00;May 29, 2015
332;1427;July 30, 2014;eduvelle;332;14100000000,00;2810000000,00;164583629893,24;May 29, 2015
332;1428;August 6, 2014;eduvelle;332;130000000000,00;6490000000,00;657010785824,35;May 29, 2015
333;1427;July 30, 2014;eduvelle;333;12700000000000,00;2810000000,00;148241992882562,00;May 29, 2015
333;1428;August 6, 2014;eduvelle;333;35600000000000,00;6490000000,00;179919876733436,00;May 29, 2015
334;1427;July 30, 2014;eduvelle;334;938000000000,00;2810000000,00;10948896797153,00;May 29, 2015
334;1428;August 6, 2014;eduvelle;334;2600000000000,00;6490000000,00;13140215716486,90;May 29, 2015
335;1427;July 30, 2014;eduvelle;335;468000000000,00;2810000000,00;5462775800711,74;June 5, 2015
335;1428;August 6, 2014;eduvelle;335;1790000000000,00;6490000000,00;9046533127889,06;June 5, 2015
336;1428;August 6, 2014;eduvelle;336;2950000000000,00;6490000000,00;14909090909090,90;June 5, 2015
337;1428;August 6, 2014;eduvelle;337;12200000000000,00;6490000000,00;61657935285053,90;June 5, 2015
338;1428;August 6, 2014;eduvelle;338;16300000000000,00;6490000000,00;82379044684129,40;June 5, 2015
339;1428;August 6, 2014;eduvelle;339;141000000000000,00;6490000000,00;712604006163328,00;July 10, 2015
340;1429;August 13, 2014;eduvelle;340;443000000000,00;7270000000,00;1998679504814,31;July 10, 2015
341;1429;August 13, 2014;eduvelle;341;1340000000000,00;7270000000,00;6045667125171,94;July 10, 2015
342;1429;August 13, 2014;eduvelle;342;1880000000000,00;7270000000,00;8481980742778,54;July 17, 2015
343;1429;August 13, 2014;eduvelle;343;218000000000,00;7270000000,00;983548830811,55;July 17, 2015
344;1430;September 10, 2014;mdesrosiers;344;999000000000,00;2460000000,00;13320000000000,00;July 17, 2015
344;1431;September 18, 2014;emace;344;3590000000000,00;40100000000,00;2936458852867,83;July 17, 2015
345;1430;September 10, 2014;mdesrosiers;345;26600000000000,00;2460000000,00;354666666666667,00;July 17, 2015
345;1431;September 18, 2014;emace;345;20100000000000,00;40100000000,00;16440897755611,00;July 17, 2015
